derivative order,DG
1,"(1 - z)^(-1 + d)*z*(-2 + (2 + d)*z)*Hypergeometric2F1[d, d, 2*d, 1 - z] + (-1 + z)*z^(-1 + d)*(d*(-1 + z) + 2*z)*Hypergeometric2F1[d, d, 2*d, z] + (d*((1 - z)^d*z^2*Hypergeometric2F1[1 + d, 1 + d, 1 + 2*d, 1 - z] + (-1 + z)^2*z^d*Hypergeometric2F1[1 + d, 1 + d, 1 + 2*d, z]))/2"
3,"(d*(2*(-2 + d)*(-1 + d)*(1 - z)^(-3 + d)*z^2*Hypergeometric2F1[d, d, 2*d, 1 - z] + 2*z^(-3 + d)*(d^2*(-1 + z)^2 + 3*d*(-1 + z^2) + 2*(1 + z + z^2))*Hypergeometric2F1[d, d, 2*d, z] + 3*(-1 + d)*(1 - z)^(-2 + d)*z*(-4*Hypergeometric2F1[d, d, 2*d, 1 - z] + d*z*Hypergeometric2F1[1 + d, 1 + d, 1 + 2*d, 1 - z]) + 3*z^(-2 + d)*(d^2*(-1 + z)^2 + 2*z^2 + d*(-1 - 2*z + 3*z^2))*Hypergeometric2F1[1 + d, 1 + d, 1 + 2*d, z] + 6*(1 - z)^(-1 + d)*(2*Hypergeometric2F1[d, d, 2*d, 1 - z] - 2*d*z*Hypergeometric2F1[1 + d, 1 + d, 1 + 2*d, 1 - z] + (d*(1 + d)^2*z^2*Hypergeometric2F1[2 + d, 2 + d, 2 + 2*d, 1 - z])/(2 + 4*d)) + (3*(1 + d)^2*(-1 + z)*z^(-1 + d)*(d*(-1 + z) + 2*z)*Hypergeometric2F1[2 + d, 2 + d, 2 + 2*d, z])/(1 + 2*d) + ((1 - z)^d*(12*(1 + 2*d)*Hypergeometric2F1[1 + d, 1 + d, 1 + 2*d, 1 - z] + (1 + d)*z*(-12*(1 + d)*Hypergeometric2F1[2 + d, 2 + d, 2 + 2*d, 1 - z] + (2 + d)^2*z*Hypergeometric2F1[3 + d, 3 + d, 3 + 2*d, 1 - z])))/(2 + 4*d) + ((1 + d)*(2 + d)^2*(-1 + z)^2*z^d*Hypergeometric2F1[3 + d, 3 + d, 3 + 2*d, z])/(2 + 4*d)))/2"
5,"(d*(8*(-4 + d)*(-3 + d)*(-2 + d)*(-1 + d)*(1 - z)^(-5 + d)*z^2*Hypergeometric2F1[d, d, 2*d, 1 - z] + 8*(-2 + d)*(-1 + d)*z^(-5 + d)*(d^2*(-1 + z)^2 + 2*(6 + 3*z + z^2) + d*(-7 + 4*z + 3*z^2))*Hypergeometric2F1[d, d, 2*d, z] + 20*(-3 + d)*(-2 + d)*(-1 + d)*(1 - z)^(-4 + d)*z*(-4*Hypergeometric2F1[d, d, 2*d, 1 - z] + d*z*Hypergeometric2F1[1 + d, 1 + d, 1 + 2*d, 1 - z]) + 20*(-1 + d)*d*z^(-4 + d)*(d^2*(-1 + z)^2 + 2*(3 + 2*z + z^2) + d*(-5 + 2*z + 3*z^2))*Hypergeometric2F1[1 + d, 1 + d, 1 + 2*d, z] + (40*(-2 + d)*(-1 + d)*(1 - z)^(-3 + d)*((4 + 8*d)*Hypergeometric2F1[d, d, 2*d, 1 - z] + d*z*(-4*(1 + 2*d)*Hypergeometric2F1[1 + d, 1 + d, 1 + 2*d, 1 - z] + (1 + d)^2*z*Hypergeometric2F1[2 + d, 2 + d, 2 + 2*d, 1 - z])))/(1 + 2*d) + (40*d*(1 + d)^2*z^(-3 + d)*(d^2*(-1 + z)^2 + 3*d*(-1 + z^2) + 2*(1 + z + z^2))*Hypergeometric2F1[2 + d, 2 + d, 2 + 2*d, z])/(1 + 2*d) + (20*(-1 + d)*d*(1 - z)^(-2 + d)*(12*(1 + 2*d)*Hypergeometric2F1[1 + d, 1 + d, 1 + 2*d, 1 - z] + (1 + d)*z*(-12*(1 + d)*Hypergeometric2F1[2 + d, 2 + d, 2 + 2*d, 1 - z] + (2 + d)^2*z*Hypergeometric2F1[3 + d, 3 + d, 3 + 2*d, 1 - z])))/(1 + 2*d) + (20*(1 + d)*(2 + d)^2*z^(-2 + d)*(d^2*(-1 + z)^2 + 2*z^2 + d*(-1 - 2*z + 3*z^2))*Hypergeometric2F1[3 + d, 3 + d, 3 + 2*d, z])/(1 + 2*d) + (10*d*(1 + d)*(1 - z)^(-1 + d)*(24*(1 + d)*(3 + 2*d)*Hypergeometric2F1[2 + d, 2 + d, 2 + 2*d, 1 - z] - 8*(2 + d)^2*(3 + 2*d)*z*Hypergeometric2F1[3 + d, 3 + d, 3 + 2*d, 1 - z] + (2 + d)^2*(3 + d)^2*z^2*Hypergeometric2F1[4 + d, 4 + d, 4 + 2*d, 1 - z]))/(3 + 8*d + 4*d^2) + (10*(1 + d)*(2 + d)^2*(3 + d)^2*(-1 + z)*z^(-1 + d)*(d*(-1 + z) + 2*z)*Hypergeometric2F1[4 + d, 4 + d, 4 + 2*d, z])/(3 + 8*d + 4*d^2) + ((1 + d)*(2 + d)*(1 - z)^d*(40*(2 + d)*(3 + 2*d)*Hypergeometric2F1[3 + d, 3 + d, 3 + 2*d, 1 - z] - 20*(2 + d)*(3 + d)^2*z*Hypergeometric2F1[4 + d, 4 + d, 4 + 2*d, 1 - z] + (3 + d)^2*(4 + d)^2*z^2*Hypergeometric2F1[5 + d, 5 + d, 5 + 2*d, 1 - z]))/(3 + 8*d + 4*d^2) + ((1 + d)*(2 + d)*(3 + d)^2*(4 + d)^2*(-1 + z)^2*z^d*Hypergeometric2F1[5 + d, 5 + d, 5 + 2*d, z])/(3 + 8*d + 4*d^2)))/8"
7,"(d*(16*(-6 + d)*(-5 + d)*(-4 + d)*(-3 + d)*(-2 + d)*(-1 + d)*(1 + 2*d)*(3 + 2*d)*(5 + 2*d)*(1 - z)^(-7 + d)*z^2*Hypergeometric2F1[d, d, 2*d, 1 - z] + 16*(-4 + d)*(-3 + d)*(-2 + d)*(-1 + d)*(1 + 2*d)*(3 + 2*d)*(5 + 2*d)*z^(-7 + d)*(d^2*(-1 + z)^2 + 2*(15 + 5*z + z^2) + d*(-11 + 8*z + 3*z^2))*Hypergeometric2F1[d, d, 2*d, z] + 56*(-5 + d)*(-4 + d)*(-3 + d)*(-2 + d)*(-1 + d)*(1 + 2*d)*(3 + 2*d)*(5 + 2*d)*(1 - z)^(-6 + d)*z*(-4*Hypergeometric2F1[d, d, 2*d, 1 - z] + d*z*Hypergeometric2F1[1 + d, 1 + d, 1 + 2*d, 1 - z]) + 56*(-3 + d)*(-2 + d)*(-1 + d)*d*(1 + 2*d)*(3 + 2*d)*(5 + 2*d)*z^(-6 + d)*(d^2*(-1 + z)^2 + 3*d*(-3 + 2*z + z^2) + 2*(10 + 4*z + z^2))*Hypergeometric2F1[1 + d, 1 + d, 1 + 2*d, z] + 168*(-4 + d)*(-3 + d)*(-2 + d)*(-1 + d)*(3 + 2*d)*(5 + 2*d)*(1 - z)^(-5 + d)*((4 + 8*d)*Hypergeometric2F1[d, d, 2*d, 1 - z] + d*z*(-4*(1 + 2*d)*Hypergeometric2F1[1 + d, 1 + d, 1 + 2*d, 1 - z] + (1 + d)^2*z*Hypergeometric2F1[2 + d, 2 + d, 2 + 2*d, 1 - z])) + 168*(-2 + d)*(-1 + d)*d*(1 + d)^2*(3 + 2*d)*(5 + 2*d)*z^(-5 + d)*(d^2*(-1 + z)^2 + 2*(6 + 3*z + z^2) + d*(-7 + 4*z + 3*z^2))*Hypergeometric2F1[2 + d, 2 + d, 2 + 2*d, z] + 140*(-3 + d)*(-2 + d)*(-1 + d)*d*(3 + 2*d)*(5 + 2*d)*(1 - z)^(-4 + d)*(12*(1 + 2*d)*Hypergeometric2F1[1 + d, 1 + d, 1 + 2*d, 1 - z] + (1 + d)*z*(-12*(1 + d)*Hypergeometric2F1[2 + d, 2 + d, 2 + 2*d, 1 - z] + (2 + d)^2*z*Hypergeometric2F1[3 + d, 3 + d, 3 + 2*d, 1 - z])) + 140*(-1 + d)*d*(1 + d)*(2 + d)^2*(3 + 2*d)*(5 + 2*d)*z^(-4 + d)*(d^2*(-1 + z)^2 + 2*(3 + 2*z + z^2) + d*(-5 + 2*z + 3*z^2))*Hypergeometric2F1[3 + d, 3 + d, 3 + 2*d, z] + 140*(1 - d)*(2 - d)*d*(1 + d)*(5 + 2*d)*(1 - z)^(-3 + d)*(24*(1 + d)*(3 + 2*d)*Hypergeometric2F1[2 + d, 2 + d, 2 + 2*d, 1 - z] - 8*(2 + d)^2*(3 + 2*d)*z*Hypergeometric2F1[3 + d, 3 + d, 3 + 2*d, 1 - z] + (2 + d)^2*(3 + d)^2*z^2*Hypergeometric2F1[4 + d, 4 + d, 4 + 2*d, 1 - z]) + 140*d*(1 + d)*(2 + d)^2*(3 + d)^2*(5 + 2*d)*z^(-3 + d)*(d^2*(-1 + z)^2 + 3*d*(-1 + z^2) + 2*(1 + z + z^2))*Hypergeometric2F1[4 + d, 4 + d, 4 + 2*d, z] - 42*(1 - d)*d*(1 + d)*(2 + d)*(5 + 2*d)*(1 - z)^(-2 + d)*(40*(2 + d)*(3 + 2*d)*Hypergeometric2F1[3 + d, 3 + d, 3 + 2*d, 1 - z] - 20*(2 + d)*(3 + d)^2*z*Hypergeometric2F1[4 + d, 4 + d, 4 + 2*d, 1 - z] + (3 + d)^2*(4 + d)^2*z^2*Hypergeometric2F1[5 + d, 5 + d, 5 + 2*d, 1 - z]) + 42*(1 + d)*(2 + d)*(3 + d)^2*(4 + d)^2*(5 + 2*d)*z^(-2 + d)*(d^2*(-1 + z)^2 + 2*z^2 + d*(-1 - 2*z + 3*z^2))*Hypergeometric2F1[5 + d, 5 + d, 5 + 2*d, z] + 14*d*(1 + d)*(2 + d)*(3 + d)^2*(1 - z)^(-1 + d)*(60*(2 + d)*(5 + 2*d)*Hypergeometric2F1[4 + d, 4 + d, 4 + 2*d, 1 - z] - 12*(4 + d)^2*(5 + 2*d)*z*Hypergeometric2F1[5 + d, 5 + d, 5 + 2*d, 1 - z] + (4 + d)^2*(5 + d)^2*z^2*Hypergeometric2F1[6 + d, 6 + d, 6 + 2*d, 1 - z]) + 14*(1 + d)*(2 + d)*(3 + d)^2*(4 + d)^2*(5 + d)^2*(-1 + z)*z^(-1 + d)*(d*(-1 + z) + 2*z)*Hypergeometric2F1[6 + d, 6 + d, 6 + 2*d, z] + (1 + d)*(2 + d)*(3 + d)*(4 + d)^2*(1 - z)^d*(84*(3 + d)*(5 + 2*d)*Hypergeometric2F1[5 + d, 5 + d, 5 + 2*d, 1 - z] - 28*(3 + d)*(5 + d)^2*z*Hypergeometric2F1[6 + d, 6 + d, 6 + 2*d, 1 - z] + (5 + d)^2*(6 + d)^2*z^2*Hypergeometric2F1[7 + d, 7 + d, 7 + 2*d, 1 - z]) + (1 + d)*(2 + d)*(3 + d)*(4 + d)^2*(5 + d)^2*(6 + d)^2*(-1 + z)^2*z^d*Hypergeometric2F1[7 + d, 7 + d, 7 + 2*d, z]))/(16*(1 + 2*d)*(3 + 2*d)*(5 + 2*d))"
9,"(d*(32*(-8 + d)*(-7 + d)*(-6 + d)*(-5 + d)*(-4 + d)*(-3 + d)*(-2 + d)*(-1 + d)*(1 + 2*d)*(3 + 2*d)*(5 + 2*d)*(7 + 2*d)*(1 - z)^(-9 + d)*z^2*Hypergeometric2F1[d, d, 2*d, 1 - z] + 32*(-6 + d)*(-5 + d)*(-4 + d)*(-3 + d)*(-2 + d)*(-1 + d)*(1 + 2*d)*(3 + 2*d)*(5 + 2*d)*(7 + 2*d)*z^(-9 + d)*(d^2*(-1 + z)^2 + 3*d*(-5 + 4*z + z^2) + 2*(28 + 7*z + z^2))*Hypergeometric2F1[d, d, 2*d, z] + 144*(-7 + d)*(-6 + d)*(-5 + d)*(-4 + d)*(-3 + d)*(-2 + d)*(-1 + d)*(1 + 2*d)*(3 + 2*d)*(5 + 2*d)*(7 + 2*d)*(1 - z)^(-8 + d)*z*(-4*Hypergeometric2F1[d, d, 2*d, 1 - z] + d*z*Hypergeometric2F1[1 + d, 1 + d, 1 + 2*d, 1 - z]) + 144*(-5 + d)*(-4 + d)*(-3 + d)*(-2 + d)*(-1 + d)*d*(1 + 2*d)*(3 + 2*d)*(5 + 2*d)*(7 + 2*d)*z^(-8 + d)*(d^2*(-1 + z)^2 + 2*(21 + 6*z + z^2) + d*(-13 + 10*z + 3*z^2))*Hypergeometric2F1[1 + d, 1 + d, 1 + 2*d, z] + 576*(-6 + d)*(-5 + d)*(-4 + d)*(-3 + d)*(-2 + d)*(-1 + d)*(3 + 2*d)*(5 + 2*d)*(7 + 2*d)*(1 - z)^(-7 + d)*((4 + 8*d)*Hypergeometric2F1[d, d, 2*d, 1 - z] + d*z*(-4*(1 + 2*d)*Hypergeometric2F1[1 + d, 1 + d, 1 + 2*d, 1 - z] + (1 + d)^2*z*Hypergeometric2F1[2 + d, 2 + d, 2 + 2*d, 1 - z])) + 576*(-4 + d)*(-3 + d)*(-2 + d)*(-1 + d)*d*(1 + d)^2*(3 + 2*d)*(5 + 2*d)*(7 + 2*d)*z^(-7 + d)*(d^2*(-1 + z)^2 + 2*(15 + 5*z + z^2) + d*(-11 + 8*z + 3*z^2))*Hypergeometric2F1[2 + d, 2 + d, 2 + 2*d, z] + 672*(-5 + d)*(-4 + d)*(-3 + d)*(-2 + d)*(-1 + d)*d*(3 + 2*d)*(5 + 2*d)*(7 + 2*d)*(1 - z)^(-6 + d)*(12*(1 + 2*d)*Hypergeometric2F1[1 + d, 1 + d, 1 + 2*d, 1 - z] + (1 + d)*z*(-12*(1 + d)*Hypergeometric2F1[2 + d, 2 + d, 2 + 2*d, 1 - z] + (2 + d)^2*z*Hypergeometric2F1[3 + d, 3 + d, 3 + 2*d, 1 - z])) + 672*(-3 + d)*(-2 + d)*(-1 + d)*d*(1 + d)*(2 + d)^2*(3 + 2*d)*(5 + 2*d)*(7 + 2*d)*z^(-6 + d)*(d^2*(-1 + z)^2 + 3*d*(-3 + 2*z + z^2) + 2*(10 + 4*z + z^2))*Hypergeometric2F1[3 + d, 3 + d, 3 + 2*d, z] + 1008*(1 - d)*(2 - d)*(3 - d)*(4 - d)*d*(1 + d)*(5 + 2*d)*(7 + 2*d)*(1 - z)^(-5 + d)*(24*(1 + d)*(3 + 2*d)*Hypergeometric2F1[2 + d, 2 + d, 2 + 2*d, 1 - z] - 8*(2 + d)^2*(3 + 2*d)*z*Hypergeometric2F1[3 + d, 3 + d, 3 + 2*d, 1 - z] + (2 + d)^2*(3 + d)^2*z^2*Hypergeometric2F1[4 + d, 4 + d, 4 + 2*d, 1 - z]) + 1008*(-2 + d)*(-1 + d)*d*(1 + d)*(2 + d)^2*(3 + d)^2*(5 + 2*d)*(7 + 2*d)*z^(-5 + d)*(d^2*(-1 + z)^2 + 2*(6 + 3*z + z^2) + d*(-7 + 4*z + 3*z^2))*Hypergeometric2F1[4 + d, 4 + d, 4 + 2*d, z] - 504*(1 - d)*(2 - d)*(3 - d)*d*(1 + d)*(2 + d)*(5 + 2*d)*(7 + 2*d)*(1 - z)^(-4 + d)*(40*(2 + d)*(3 + 2*d)*Hypergeometric2F1[3 + d, 3 + d, 3 + 2*d, 1 - z] - 20*(2 + d)*(3 + d)^2*z*Hypergeometric2F1[4 + d, 4 + d, 4 + 2*d, 1 - z] + (3 + d)^2*(4 + d)^2*z^2*Hypergeometric2F1[5 + d, 5 + d, 5 + 2*d, 1 - z]) + 504*(-1 + d)*d*(1 + d)*(2 + d)*(3 + d)^2*(4 + d)^2*(5 + 2*d)*(7 + 2*d)*z^(-4 + d)*(d^2*(-1 + z)^2 + 2*(3 + 2*z + z^2) + d*(-5 + 2*z + 3*z^2))*Hypergeometric2F1[5 + d, 5 + d, 5 + 2*d, z] + 336*(1 - d)*(2 - d)*d*(1 + d)*(2 + d)*(3 + d)^2*(7 + 2*d)*(1 - z)^(-3 + d)*(60*(2 + d)*(5 + 2*d)*Hypergeometric2F1[4 + d, 4 + d, 4 + 2*d, 1 - z] - 12*(4 + d)^2*(5 + 2*d)*z*Hypergeometric2F1[5 + d, 5 + d, 5 + 2*d, 1 - z] + (4 + d)^2*(5 + d)^2*z^2*Hypergeometric2F1[6 + d, 6 + d, 6 + 2*d, 1 - z]) + 336*d*(1 + d)*(2 + d)*(3 + d)^2*(4 + d)^2*(5 + d)^2*(7 + 2*d)*z^(-3 + d)*(d^2*(-1 + z)^2 + 3*d*(-1 + z^2) + 2*(1 + z + z^2))*Hypergeometric2F1[6 + d, 6 + d, 6 + 2*d, z] - 72*(1 - d)*d*(1 + d)*(2 + d)*(3 + d)*(4 + d)^2*(7 + 2*d)*(1 - z)^(-2 + d)*(84*(3 + d)*(5 + 2*d)*Hypergeometric2F1[5 + d, 5 + d, 5 + 2*d, 1 - z] - 28*(3 + d)*(5 + d)^2*z*Hypergeometric2F1[6 + d, 6 + d, 6 + 2*d, 1 - z] + (5 + d)^2*(6 + d)^2*z^2*Hypergeometric2F1[7 + d, 7 + d, 7 + 2*d, 1 - z]) + 72*(1 + d)*(2 + d)*(3 + d)*(4 + d)^2*(5 + d)^2*(6 + d)^2*(7 + 2*d)*z^(-2 + d)*(d^2*(-1 + z)^2 + 2*z^2 + d*(-1 - 2*z + 3*z^2))*Hypergeometric2F1[7 + d, 7 + d, 7 + 2*d, z] + 18*d*(1 + d)*(2 + d)*(3 + d)*(4 + d)^2*(5 + d)^2*(1 - z)^(-1 + d)*(112*(3 + d)*(7 + 2*d)*Hypergeometric2F1[6 + d, 6 + d, 6 + 2*d, 1 - z] - 16*(6 + d)^2*(7 + 2*d)*z*Hypergeometric2F1[7 + d, 7 + d, 7 + 2*d, 1 - z] + (6 + d)^2*(7 + d)^2*z^2*Hypergeometric2F1[8 + d, 8 + d, 8 + 2*d, 1 - z]) + 18*(1 + d)*(2 + d)*(3 + d)*(4 + d)^2*(5 + d)^2*(6 + d)^2*(7 + d)^2*(-1 + z)*z^(-1 + d)*(d*(-1 + z) + 2*z)*Hypergeometric2F1[8 + d, 8 + d, 8 + 2*d, z] + (1 + d)*(2 + d)*(3 + d)*(4 + d)*(5 + d)^2*(6 + d)^2*(1 - z)^d*(144*(4 + d)*(7 + 2*d)*Hypergeometric2F1[7 + d, 7 + d, 7 + 2*d, 1 - z] - 36*(4 + d)*(7 + d)^2*z*Hypergeometric2F1[8 + d, 8 + d, 8 + 2*d, 1 - z] + (7 + d)^2*(8 + d)^2*z^2*Hypergeometric2F1[9 + d, 9 + d, 9 + 2*d, 1 - z]) + (1 + d)*(2 + d)*(3 + d)*(4 + d)*(5 + d)^2*(6 + d)^2*(7 + d)^2*(8 + d)^2*(-1 + z)^2*z^d*Hypergeometric2F1[9 + d, 9 + d, 9 + 2*d, z]))/(32*(1 + 2*d)*(3 + 2*d)*(5 + 2*d)*(7 + 2*d))"
